Absent,غائب
Engineering Consulting,الاستشارات الهندسية
Entitlement Policy,بند واجهة
EOS,بند واجهة
Erpgenex Property Mgmt,إدارة العقارات
Erpgenex Realestate Dev,التطوير العقاري
Erpgenex Realestate Sales,التسويق العقاري
ERPGENEX — Core ERP,ERPGENEX — ERP الأساسي
ERPGENEX — Dashboard,ERPGENEX — لوحة المعلومات
Escalation Rule,قاعدة تصعيد الإيجار
Evaluation Notes,بند واجهة
Event,حدث
Exceeds Expectations,بند واجهة
Executive Dashboard,لوحة المدير التنفيذية
Expense,المصروف
Expense (P&L),المصروف (P&L)
Expense Date,المصروف التاريخ
Expense total,المصروف الإجمالي
Expense total (P&L),المصروف الإجمالي ( P & L )
Expense Type,المصروف النوع
Explore this workspace,استكشف مساحة العمل
external_reference,بند واجهة
Factoring,التخصيم
Feedback,بند واجهة
Field PWA,تطبيق الميدان
File Import,ملف استيراد
Filters,المرشحات
Final,نهائي
Finance Control Exceptions,استثناءات الضوابط المالية
Finance Control Violations,مخالفات الضوابط المالية
Finance Controls,الضوابط المالية
Finance Desk,بند واجهة
Finance Engine,محرك التمويل
Finance Group,المجموعة المالية
Finance SoD Blocks,حظر فصل المهام (SoD)
Finance Workcenter,مركز عمل المالية
Fiscal Year,بند واجهة
Fiscal Year Start Month,بند واجهة
Fixed Assets,الأصول الثابتة
Form,نموذج
From,من
from last month,بند واجهة
Further,المزيد
General Ledger,دفتر الأستاذ العام
Generic TCP,بند واجهة
GENERIC_LIMITED,بند واجهة
Get started with Employee,بند واجهة
Get started with HR Leave Type,HR — بند واجهة
Get started with Leave Policy,بند واجهة
Get started with User Branch Access,بند واجهة
GL Account,حساب GL
GL mapping (IAS 19 / payroll accrual),GL — بند واجهة / بند واجهة
GL Override,GL — بند واجهة
GL posting date,GL ترحيل التاريخ
Global Defaults,الإعدادات العامة
Goals Score,بند واجهة
Governance,الحوكمة
Governance Overview,نظرة عامة على الحوكمة
Grace Period (Minutes),بند واجهة
Gratuity (estimated),بند واجهة
Gross Pay,بند واجهة
Gross pay,بند واجهة
Guest,زائر
Handover & defects (snagging),التسليم والعيوب
Handover Package,حزمة التسليم
Headcount,بند واجهة
Healthcare,الرعاية الصحية
Help,مساعدة
Hikvision,بند واجهة
Hire,بند واجهة
Hired,بند واجهة
Hiring Manager,بند واجهة
Hold,بند واجهة
Home,الرئيسية
HR,الموارد البشرية
HR Attendance,الموارد البشرية الحضور
HR Attendance Register,سجل الموارد البشرية الحضور
HR Attendance Summary,ملخص الموارد البشرية الحضور
HR Biometric Device,HR — بند واجهة
HR Biometric Device Register,سجل HR — بند واجهة
HR Biometric Punch Log,HR — بند واجهة
HR Biometric Punch Log Register,سجل HR — بند واجهة
HR Dashboard,لوحة الموارد البشرية
HR Department,HR — بند واجهة
HR Department Register,سجل HR — بند واجهة
HR Employee,الموارد البشرية الموظف
HR Employee Appraisal,HR — بند واجهة
HR Employee Appraisal Register,سجل HR — بند واجهة
HR End of Service Settlement,HR — بند واجهة
HR Expense Claim,HR — بند واجهة
HR Headcount,HR — بند واجهة
HR Interview,HR — بند واجهة
HR Job Applicant,HR — بند واجهة
HR Leave Application,HR — بند واجهة
HR Leave Application Summary,ملخص HR — بند واجهة
HR Leave Balance,HR — بند واجهة
HR Leave Type,HR — بند واجهة
HR Manager,HR — بند واجهة
HR Monthly Attendance Rate,الموارد البشرية شهري الحضور السعر
HR Payroll Company Settings,إعدادات HR — بند واجهة
HR Payroll Entry,HR — بند واجهة
HR Payroll Register,سجل HR — بند واجهة
HR Payroll Run,HR — بند واجهة
HR Payroll Run Line,HR — بند واجهة
HR Payroll Statutory Deductions Register,سجل HR — بند واجهة
HR Payroll Summary,ملخص HR — بند واجهة
HR Recruitment Pipeline,HR — بند واجهة
HR Recruitment Request,HR — بند واجهة
HR Salary Advance,HR — بند واجهة
HR Salary Slip,HR — بند واجهة
HR Salary Slip Line,HR — بند واجهة
HR Salary Slip Register,سجل HR — بند واجهة
HR Settings,إعدادات الموارد البشرية
HR Shift Type,HR — بند واجهة
HR Training Record,HR — بند واجهة
HR Training Summary,ملخص HR — بند واجهة
HR User,الموارد البشرية مستخدم
Human Resources Workcenter,بند واجهة
IFRS 16 Liability,التزام الإيجار IFRS 16
Import,استيراد
IN,IN
In Progress,قيد التنفيذ
In Review,In مراجعة
Industry Solutions,حلول القطاعات
Insights,رؤى وتحليلات
"Insufficient leave balance. Available: {0}, Requested: {1}",بند واجهة
International HR Standards,HR — بند واجهة
Interview,بند واجهة
Interview Date,بند واجهة
Interview Round,بند واجهة
Interviewer,بند واجهة
Inventory & development context,المخزون وسياق التطوير
Inventory KPI Dashboard,لوحة مؤشرات المخزون
Inventory KPIs,مؤشرات المخزون
Inventory Low Stock Items,أصناف منخفضة المخزون
Inventory Reorder Needed,أصناف تحتاج إعادة طلب
Inventory Stock Items,أصناف المخزون
Is Group,بند واجهة
Item,الصنف
Job Board,بند واجهة
Job Role,بند واجهة
joined the organization,بند واجهة
Journal Entry,قيد يومية
Jump to the **Analytics Dashboard** page.,انتقل إلى صفحة **لوحة التحليلات**.
Jump to the **Employee Self-Service** page.,انتقل إلى صفحة **بند واجهة**.
Jump to the **Executive Dashboard** page.,انتقل إلى صفحة **لوحة المدير التنفيذية**.
Jump to the **HR Dashboard** page.,انتقل إلى صفحة **لوحة الموارد البشرية**.
Jump to the **Operations Desk** page.,انتقل إلى صفحة **بند واجهة**.
Justification,بند واجهة
KSA_EMPLOYEE_RESIGNATION,بند واجهة
KSA_EMPLOYER_TERMINATION,بند واجهة
Land & project charter,الأرض وميثاق المشروع
Land Parcel,قطعة أرض
Language,اللغة
Last 7 Days,بند واجهة
Last basic salary (monthly),بند واجهة
Last basic salary is required.,بند واجهة
Last Month,الشهر الماضي
Last Sync,بند واجهة
Last Week,الأسبوع الماضي
Lead acquisition & qualification,اكتساب العملاء وتأهيلهم
Leasing & occupancy (IFRS 16 / IPSAS rent),التأجير والإشغال (IFRS 16 / IPSAS)
Leasing Finance,التمويل التأجيري
Leasing Mandate,تفويض تأجير
Leave,بند واجهة
Leave Application,بند واجهة
Leave application is already submitted.,بند واجهة
Leave Balance,بند واجهة
"Leave balance already exists for this employee, leave type and year.",بند واجهة
Leave Management,بند واجهة
Leave Type,بند واجهة
Leave Window,بند واجهة
Lines,البنود
List,قائمة
Location,الموقع
Lodging,بند واجهة
Login,تسجيل الدخول
Logout,تسجيل الخروج
Maintenance — service requests,الصيانة — طلبات الخدمة
Management Agreement,اتفاقية إدارة
Manual,يدوي
Manufacturing,التصنيع
Maternity Leave,بند واجهة
Max Days Per Year,بند واجهة
Meals,بند واجهة
Meets Expectations,بند واجهة
Menu,القائمة
Mobile,الجوال
Monthly recovery cap,بند واجهة
More,المزيد
Mortgage Finance,التمويل العقاري
My work,عملي
Name,الاسم
Needs Improvement,بند واجهة
Net Pay,بند واجهة
Net pay,بند واجهة
Net Result,بند واجهة
New,جديد
New Joinees,بند واجهة
New Leave Policy,بند واجهة
New Leave Request,بند واجهة
Night Shift,بند واجهة
No active employees match {0}. Create Employee records or sync from Healthcare Practitioners.,بند واجهة
No branch access for the current view scope.,بند واجهة
No data,بند واجهة
No employees in {0}. {1} employee(s) exist in other branches of {2} — switch to «All branches» in the top bar.,بند واجهة — بند واجهة
No Present/Remote attendance found for this employee in the pay period. Enable Skip attendance gate only if authorised.,بند واجهة
None,لا شيء
Notes,ملاحظات
Notifications,الإشعارات
Number Card,بطاقة رقمية
Occupancy,الإشغال
of total,من الإجمالي
Offer,بند واجهة
Omnexa Accounting Settings,إعدادات محاسبة Omnexa
Omnexa Marketplace Settings,إعدادات سوق Omnexa
Omnexa Purchase Settings,إعدادات مشتريات Omnexa
Omnexa Sales Settings,إعدادات مبيعات Omnexa
Omnexa Settings,إعدادات Omnexa
Omnexa Stock Settings,إعدادات مخزون Omnexa
On Leave,بند واجهة
Ongoing Trainings,بند واجهة
Only HR staff can approve leave.,HR — بند واجهة
Only HR staff can approve or reject leave.,HR — بند واجهة
Only HR staff can reject leave.,HR — بند واجهة
Only submitted applications can be approved.,بند واجهة
Only submitted applications can be rejected.,بند واجهة
Open,مفتوح
Open Analytics Dashboard,لوحة فتح التحليلات
Open Employee Self-Service,بند واجهة
Open Executive Dashboard,لوحة بند واجهة
Open HR Dashboard,لوحة فتح الموارد البشرية
Open Operations Desk,بند واجهة
Open Positions,بند واجهة
Open report Compliance Exceptions Dashboard,فتح تقرير لوحة استثناءات الامتثال
Operating Scenarios,سيناريوهات التشغيل
Operational Risk,المخاطر التشغيلية
Operations Desk,بند واجهة
Other,أخرى
OUT,بند واجهة
Outstanding,بند واجهة
Overall Score,بند واجهة
Overdue,متأخر
Overview,نظرة عامة
Owner,المالك
Owner reporting & trust accounting,تقارير الملاك والحسابات الائتمانية
Owner Statement,كشف حساب المالك
Paid,مدفوع
Parent Department,بند واجهة
Pay period,سداد الفترة
Payment Entry,سند قبض/صرف
Payment Plan Item,بند خطة السداد
Payment Reference,السداد المرجع
Payroll accrual — period {0} to {1},بند واجهة — الفترة { 0 } إلى { 1 }
Payroll Entry,بند واجهة
Payroll Liability (net + deductions payable),بند واجهة
Payroll linkage,بند واجهة
Payroll Month,بند واجهة
Payroll Period,بند واجهة
Payroll period,بند واجهة
Payroll Run,بند واجهة
Payroll Settings,إعدادات بند واجهة
Payroll Tax / Statutory Payable,بند واجهة / بند واجهة
Pending,قيد الانتظار
Pending Days,بند واجهة
Period (YYYY-MM),بند واجهة
Period End,الفترة النهاية
Period End cannot be before Period Start.,بند واجهة
Period Start,الفترة بدء
Permit Milestone,معلم التصريح
Planned,مخطط
Planning,بند واجهة
Platform & Administration,المنصة والإدارة
PMC Lease Liability Schedule,جدول التزام الإيجار IFRS 16
PMC Leasing Mandate,تفويض تأجير
PMC Management Agreement,اتفاقية إدارة
PMC Management Fee Summary,ملخص رسوم الإدارة
PMC Occupancy Summary,ملخص الإشغال
PMC Owner Statement,كشف حساب المالك
PMC Owner Statement Register,سجل كشوف الملاك
PMC Property,عقار
PMC Property Unit,وحدة عقارية
PMC Rent Aging,أعمار الإيجارات
PMC Rent Billing Register,سجل فوترة الإيجار
PMC Rent Roll,سجل الإيجارات
PMC Rental Contract Register,سجل عقود الإيجار
Portfolio & asset registry,المحفظة وسجل الأصول
Posting,ترحيل
Posting Date,ترحيل التاريخ
Present,حاضر
Present Today,حاضر اليوم
Processed,مُعالج
Productive attendance %,بند واجهة
Profile,الملف الشخصي
Profit and Loss,الأرباح والخسائر
Project EV,القيمة المكتسبة للمشروع
Projects & Services,المشاريع والخدمات
Projects PM,إدارة المشاريع
Property,عقار
Property Management,إدارة العقارات
Property Sales Booking Register,سجل حجوزات البيع
Property Sales Lead,عميل مبيعات عقارية
Provider,مزود
Punch Datetime,بند واجهة
Punch Type,بند واجهة
Purchase Invoice,فاتورة شراء
Purchase Register,سجل المشتريات
Rating Band,بند واجهة
Raw User ID,ID — بند واجهة
RE BOQ,جدول كميات التطوير
RE Development,التطوير العقاري
RE Handover Package,حزمة التسليم
RE Marketing,التسويق العقاري
RE Permit Milestone,معلم التصريح
RE Project EV,القيمة المكتسبة للمشروع
RE Subcontract Commitment,التزام مقاول باطن
RE Unit Inventory,مخزون وحدات التطوير
RE unit inventory (sales),مخزون وحدات البيع
RE Unit Inventory Overview,نظرة عامة على مخزون الوحدات
Real Estate,العقارات
Reason,السبب
Recommendation,التوصية
Records,بند واجهة
Recovered cannot exceed advance amount.,بند واجهة
Recovered to Date,بند واجهة
Recruitment Request,بند واجهة
Referral,التحويل
Refresh,تحديث
Reject,بند واجهة
Rejected,مرفوض
Reload,إعادة تحميل
Remarks,ملاحظات
Remote,عن بُعد
Rent Aging,أعمار الإيجارات
Rent billing register,سجل فوترة الإيجار
Rent Billing Run,تشغيل فوترة الإيجار
Rent Roll,سجل الإيجارات
Rental Contract,عقد إيجار
Rental contract register,سجل عقود الإيجار
Report,تقرير
Request Date,بند واجهة
Requests,بند واجهة
Reservation register,سجل الحجوزات
Reservations & unit holds,الحجوزات وحجز الوحدات
Resignations,بند واجهة
Restaurant,المطاعم
Resume,بند واجهة
"Return here for shortcuts, charts, and lists for **Audit & Compliance**.",ارجع هنا للاختصارات والمخططات والقوائم لـ **التدقيق والامتثال**.
"Return here for shortcuts, charts, and lists for **Core ERP**.",ارجع هنا للاختصارات والمخططات والقوائم لـ **ERP الأساسي**.
"Return here for shortcuts, charts, and lists for **HR**.",ارجع هنا للاختصارات والمخططات والقوائم لـ **الموارد البشرية**.
Review Period,مراجعة الفترة
Row {0}: Salary Slip company mismatch.,بند واجهة
Row {0}: Salary Slip must be submitted.,يجب أن بند واجهة be مُرسل.
Row {0}: Salary Slip not found.,بند واجهة
Salary & Cash Benefits Expense,بند واجهة و بند واجهة
Salary Advance,بند واجهة
Salary Advance Clearing,بند واجهة
Salary components,بند واجهة
Salary expense and payroll liability GL accounts are required.,GL — بند واجهة
Salary Slip,بند واجهة
Salary slips,بند واجهة
Sales Booking,حجز بيع
Sales booking register,سجل حجوزات البيع
Sales Commission Accrual,استحقاق عمولات المبيعات
Sales Commission Schedule,جدول عمولات المبيعات
Sales Invoice,فاتورة مبيعات
Sales Lead,عميل محتمل
Sales Portal,بوابة المبيعات
Sales Register,سجل المبيعات
Save,حفظ
Schedule,الجدول
Schedule and Outcome,بند واجهة
Scheduled,مجدول
Scheduled Trainings,بند واجهة
Scheme,بند واجهة
Score,بند واجهة
Scores,بند واجهة
Screening,فحص
Search or type a command,ابحث أو اكتب أمرًا
Search or type a command ({0}),ابحث أو اكتب أمرًا ({0})
Select a company first.,اختيار a الشركة أول.
Sell,المبيعات
Serial Number,بند واجهة
Service days,بند واجهة
Services,الخدمات
Settings,الإعدادات
Shift Name,بند واجهة
Shortcut,اختصار
Sick Leave,بند واجهة
Skip attendance gate,بند واجهة
SME Microfinance,التمويل متناهي الصغر
SME Retail Finance,تمويل المنشآت والتجزئة
Source,المصدر
Start Date,تاريخ البدء
Start Time,بند واجهة
Status,الحالة
Stock,المخزون
Subcontract,مقاول باطن
Submit,إرسال
Submitted,مُرسل
submitted a leave request,بند واجهة
Supplier,المورد
Supplies,بند واجهة
Supporting Attachment,مرفق داعم
Sync Interval (Minutes),بند واجهة
System Manager,مدير النظام
Target Hire Date,بند واجهة
Task List,قائمة المهام
Taxable (employee),بند واجهة
Technical,بند واجهة
Termination cannot be before joining.,بند واجهة
Termination Date,بند واجهة
the current scope,بند واجهة
This Month,هذا الشهر
this month,بند واجهة
This Week,هذا الأسبوع
Timezone,المنطقة الزمنية
To,إلى
To date cannot be before from date.,بند واجهة
Today,اليوم
ToDo,مهمة
Tomorrow,بند واجهة
Total Cost,الإجمالي التكلفة
Total Days,بند واجهة
Total deductions,بند واجهة
Total Employees,بند واجهة
Total Participants,بند واجهة
Total payroll expense must be greater than zero.,يجب أن بند واجهة بند واجهة.
Total Records,بند واجهة
Total Working Days,بند واجهة
Totals,بند واجهة
Tourism,السياحة
Trading,التجارة
Trading & Manufacturing,التجارة والتصنيع
Training,بند واجهة
Training Title,بند واجهة
Training: Leadership Skills,بند واجهة
Transport,بند واجهة
Travel,بند واجهة
Trial Balance,ميزان المراجعة
Type,النوع
UAE_LIMITED,بند واجهة
UAE_UNLIMITED,بند واجهة
Unit,وحدة
Unit Inventory,مخزون الوحدات
Unit inventory & sales readiness,مخزون الوحدات وجاهزية البيع
Unit inventory overview,نظرة عامة على مخزون الوحدات
Unit Reservation,حجز وحدة
Unit Reservation Register,سجل حجز الوحدات
Unknown,غير معروف
Unsatisfactory,بند واجهة
Update,تحديث
Used Days,بند واجهة
Vehicle Finance,تمويل المركبات
Warehouse,المستودع
"Welcome back, {0}",بند واجهة
Withdrawn,بند واجهة
Working Hours,بند واجهة
Working Hours Threshold,بند واجهة
Workspace,مساحة العمل
Workspaces,مساحات العمل
Yesterday,أمس
You are ready to work in Core ERP.,أنت جاهز للعمل في ERP الأساسي.
You can only manage your own leave applications.,بند واجهة
You can only submit your own leave application.,بند واجهة
ZKTeco,بند واجهة
{0}: GL Account belongs to another company.,GL — بند واجهة
✅ Handover,✅ التسليم
🎯 CRM,🎯 إدارة العملاء
🏗️ Projects,🏗️ المشاريع
🏢 Organization,🏢 التنظيم والإعداد
🏢 Organization & Setup,🏢 التنظيم والإعداد
🏢 Portfolio,🏢 المحفظة العقارية
👥 HR & Users,👥 الموارد البشرية والمستخدمون
💰 Billing · Finance · ERP,💰 الفوترة · المالية · ERP
💰 Commissions,💰 العمولات
💰 Finance & ERP,💰 المالية · ERP
💰 Owner & CAM,💰 المالك والمصاريف المشتركة
📈 Reports,📈 التقارير
📊 Analytics,📊 التحليلات
📊 Dashboards,📊 لوحات المعلومات
📊 Dashboards & Portals,📊 لوحات المعلومات والبوابات
📊 Dashboards & portals,📊 لوحات المعلومات والبوابات
📋 Commercial,📋 التجاري
📋 Leasing,📋 التأجير
📋 Operations,📋 العمليات
📐 BOQ & inventory,📐 جدول الكميات والمخزون
📦 Inventory & Supply,📦 المخزون والتوريد
🔗 Integration,🔗 التكامل
🚚 Field operations,🚚 العمليات الميدانية
🛡️ Compliance,🛡️ الامتثال
